sample.id	sample.id.clean	nodule.no	population.id	latitude 	longitude 	sample.type	pair	sample.id.pair
184.A1_culture	A1_culture	4	A	26.925556	-82.335281	culture	No	A1
192.A10_culture	A10_culture	3	A	26.925556	-82.335281	culture	No	A10
193.A11_culture	A11_culture	4	A	26.925556	-82.335281	culture	Yes	A11
201.A2_culture	A2_culture	4	A	26.925556	-82.335281	culture	No	A2
209.A5_culture	A5_culture	10	A	26.925556	-82.335281	culture	No	A5
217.A7_culture	A7_culture	3	A	26.925556	-82.335281	culture	Yes	A7
225.A8_culture	A8_culture	2	A	26.925556	-82.335281	culture	Yes	A8
233.A9_culture	A9_culture	3	A	26.925556	-82.335281	culture	Yes	A9
241.BA2_culture	BA2_culture	3	BA	38.63593	-77.539996	culture	No	BA2
242.BA5_culture	BA5_culture	2	BA	38.63593	-77.539996	culture	No	BA5
257.BG1_culture	BG1_culture	12	BG	10.345278	-85.33861111	culture	Yes	BG1
265.BG3_culture	BG3_culture	6	BG	10.345278	-85.33861111	culture	Yes	BG3
273.BG4_culture	BG4_culture	14	BG	10.345278	-85.33861111	culture	Yes	BG4
281.BG5_culture	BG5_culture	8	BG	10.345278	-85.33861111	culture	Yes	BG5
194.BG7_culture	BG7_culture	10	BG	10.345278	-85.33861111	culture	No	BG7
202.BG8_culture	BG8_culture	11	BG	10.345278	-85.33861111	culture	No	BG8
210.BG9_culture	BG9_culture	13	BG	10.345278	-85.33861111	culture	Yes	BG9
218.BI1_culture	BI1_culture	6	BI	10.341746	-85.364976	culture	No	BI1
226.BI2_culture	BI2_culture	8	BI	10.341746	-85.364976	culture	Yes	BI2
234.BI3_culture	BI3_culture	12	BI	10.341746	-85.364976	culture	Yes	BI3
250.BI7_culture	BI7_culture	9	BI	10.341746	-85.364976	culture	No	BI7
258.BI7_culture	BI7_culture	3	BI	10.341746	-85.364976	culture	No	BI7
266.BI9_culture	BI9_culture	13	BI	10.341746	-85.364976	culture	Yes	BI9
274.BJ3_culture	BJ3_culture	12	BJ	10.346475	-85.358367	culture	No	BJ3
282.BJ4_culture	BJ4_culture	12	BJ	10.346475	-85.358367	culture	Yes	BJ4
195.BL1_culture	BL1_culture	12	BL	10.358333	-85.3202778	culture	Yes	BL1
203.BL2_culture	BL2_culture	12	BL	10.358333	-85.3202778	culture	No	BL2
211.BL3_culture	BL3_culture	8	BL	10.358333	-85.3202778	culture	No	BL3
219.BL5_culture	BL5_culture	9	BL	10.358333	-85.3202778	culture	Yes	BL5
227.BL6_culture	BL6_culture	7	BL	10.358333	-85.3202778	culture	Yes	BL6
235.BL7_culture	BL7_culture	9	BL	10.358333	-85.3202778	culture	Yes	BL7
243.BL8_culture	BL8_culture	2	BL	10.358333	-85.3202778	culture	No	BL8
251.BM2_culture	BM2_culture	6	BM	10.442222	-84.00638889	culture	Yes	BM2
259.BM5_culture	BM5_culture	9	BM	10.442222	-84.00638889	culture	Yes	BM5
267.BN1_culture	BN1_culture	10	BN	10.444444	-84.00583333	culture	Yes	BN1
275.BN3_culture	BN3_culture	9	BN	10.444444	-84.00583333	culture	Yes	BN3
283.BN4_culture	BN4_culture	12	BN	10.444444	-84.00583333	culture	Yes	BN4
196.BN5_culture	BN5_culture	8	BN	10.444444	-84.00583333	culture	Yes	BN5
212.BN8_culture	BN8_culture	6	BN	10.444444	-84.00583333	culture	Yes	BN8
220.BUS135_culture	BUS135_culture	11	BUS	8.782922	-82.960249	culture	Yes	BUS135
228.BUS61_culture	BUS61_culture	7	BUS	8.782922	-82.960249	culture	No	BUS61
236.BUS900_culture	BUS900_culture	10	BUS	8.782922	-82.960249	culture	Yes	BUS900
244.BUS91_culture	BUS91_culture	10	BUS	8.782922	-82.960249	culture	Yes	BUS91
252.BUS93_culture	BUS93_culture	7	BUS	8.782922	-82.960249	culture	No	BUS93
260.C1_culture	C1_culture	3	C	25.650555	-80.374443	culture	No	C1
268.C3_culture	C3_culture	2	C	25.650555	-80.374443	culture	No	C3
276.C4_culture	C4_culture	2	C	25.650555	-80.374443	culture	No	C4
284.D1_culture	D1_culture	3	D	26.181227	-81.555852	culture	No	D1
197.D2_culture	D2_culture	6	D	26.181227	-81.555852	culture	Yes	D2
205.D3_culture	D3_culture	11	D	26.181227	-81.555852	culture	Yes	D3
213.D4_culture	D4_culture	9	D	26.181227	-81.555852	culture	Yes	D4
221.D5_culture	D5_culture	7	D	26.181227	-81.555852	culture	Yes	D5
229.E1_culture	E1_culture	8	E	28.55832	-81.639747	culture	Yes	E1
237.E2_culture	E2_culture	5	E	28.55832	-81.639747	culture	Yes	E2
245.E4_culture	E4_culture	8	E	28.55832	-81.639747	culture	Yes	E4
253.E5_culture	E5_culture	8	E	28.55832	-81.639747	culture	Yes	E5
261.G1_culture	G1_culture	8	G	27.917146	-81.999784	culture	Yes	G1
269.G3_culture	G3_culture	7	G	27.917146	-81.999784	culture	No	G3
277.G4_culture	G4_culture	6	G	27.917146	-81.999784	culture	Yes	G4
285.G5_culture	G5_culture	10	G	27.917146	-81.999784	culture	No	G5
198.H1_culture	H1_culture	9	H	28.06434	-82.571465	culture	Yes	H1
206.H2_culture	H2_culture	7	H	28.06434	-82.571465	culture	No	H2
214.H4_culture	H4_culture	7	H	28.06434	-82.571465	culture	No	H4
222.H5_culture	H5_culture	3	H	28.06434	-82.571465	culture	No	H5
230.H6_culture	H6_culture	15	H	28.06434	-82.571465	culture	No	H6
238.H8_culture	H8_culture	10	H	28.06434	-82.571465	culture	No	H8
246.J1_culture	J1_culture	11	J	27.183525	-81.362577	culture	Yes	J1
254.J2_culture	J2_culture	5	J	27.183525	-81.362577	culture	No	J2
262.J5_culture	J5_culture	4	J	27.183525	-81.362577	culture	No	J5
270.MIR107_culture	MIR107_culture	5	MIR	8.68027778	-82.93638889	culture	Yes	MIR107
278.MIR123_culture	MIR123_culture	11	MIR	8.68027778	-82.93638889	culture	Yes	MIR123
286.MIR135_culture	MIR135_culture	10	MIR	8.68027778	-82.93638889	culture	No	MIR135
199.MIR138_culture	MIR138_culture	14	MIR	8.68027778	-82.93638889	culture	Yes	MIR138
207.MIR216_culture	MIR216_culture	9	MIR	8.68027778	-82.93638889	culture	No	MIR216
293.N1_culture	N1_culture	2	N	30.747062	-82.070194	culture	No	N1
294.N2_culture	N2_culture	1	N	30.747062	-82.070194	culture	No	N2
215.N5_culture	N5_culture	NA	N	30.747062	-82.070194	culture	No	N5
223.O4_culture	O4_culture	9	O	31.097712	-81.728047	culture	Yes	O4
231.O6_culture	O6_culture	13	O	31.097712	-81.728047	culture	Yes	O6
239.O7_culture	O7_culture	9	O	31.097712	-81.728047	culture	Yes	O7
247.O9_culture	O9_culture	9	O	31.097712	-81.728047	culture	Yes	O9
255.P2_culture	P2_culture	5	P	31.46366	-81.364939	culture	Yes	P2
263.Q1_culture	Q1_culture	5	Q	32.305494	-81.044083	culture	Yes	Q1
271.Q3_culture	Q3_culture	4	Q	32.305494	-81.044083	culture	No	Q3
279.Q4_culture	Q4_culture	6	Q	32.305494	-81.044083	culture	No	Q4
287.Q6_culture	Q6_culture	5	Q	32.305494	-81.044083	culture	No	Q6
200.Q7_culture	Q7_culture	7	Q	32.305494	-81.044083	culture	Yes	Q7
208.Q9_culture	Q9_culture	9	Q	32.305494	-81.044083	culture	Yes	Q9
216.R1_culture	R1_culture	5	R	32.302081	-81.775907	culture	No	R1
224.R2_culture	R2_culture	11	R	32.302081	-81.775907	culture	No	R2
232.R6_culture	R6_culture	5	R	32.302081	-81.775907	culture	Yes	R6
240.R7_culture	R7_culture	9	R	32.302081	-81.775907	culture	Yes	R7
248.R9_culture	R9_culture	8	R	32.302081	-81.775907	culture	No	R9
256.S1_culture	S1_culture	14	S	36.516111	-78.73027778	culture	Yes	S1
264.S2_culture	S2_culture	13	S	36.516111	-78.73027778	culture	No	S2
272.S3_culture	S3_culture	16	S	36.516111	-78.73027778	culture	Yes	S3
280.S4_culture	S4_culture	NA	S	36.516111	-78.73027778	culture	No	S4
289.S6_culture	S6_culture	6	S	36.516111	-78.73027778	culture	No	S6
297.S7_culture	S7_culture	23	S	36.516111	-78.73027778	culture	Yes	S7
305.S8_culture	S8_culture	9	S	36.516111	-78.73027778	culture	Yes	S8
313.S9_culture	S9_culture	12	S	36.516111	-78.73027778	culture	No	S9
381.single_BA3_culture	single_BA3_culture	1	BA	38.63593	-77.539996	culture	No	BA3
365.single_BI9_culture	single_BI9_culture	1	BI	10.341746	-85.364976	culture	No	BI9
317.single_D3_culture	single_D3_culture	1	D	26.181227	-81.555852	culture	Yes	D3
325.single_H8_culture	single_H8_culture	1	H	28.06434	-82.571465	culture	No	H8
