Plant_ID,Family,Treatment,Bradyrhizobia,Pseudomonas,Variovorax,Block,Position,Germination,Mortality1,Leaf_no_1,Leaf_no_2,Mortality2,Leaf_no_3,Leaf_no_4,Leaf_no_5,Leaf_no_6,Death_day,Nodule_no,Pink_nodule,Yellow_nodule,Dark_nodule,Long_nodule,Round_nodule,Flower_date,Flower_count,Aboveground_mg,Belowground_mg,Dead
ZP250,S8,PVC,N,Y,Y,I,4,1,1,1,2,1,3,4,4,2,NA,0,0,0,0,0,0,NA,0,8.69,9.22,0
ZP251,S1,PVC,N,Y,Y,I,28,1,1,1,2,1,3,1,1,NA,1,0,0,0,0,0,0,NA,0,9.22,9.88,1
ZP252,S3,PVC,N,Y,Y,I,20,1,1,1,2,1,2,1,1,NA,14,0,0,0,0,0,0,NA,0,7.76,12.71,1
ZP253,S4,CCC,N,N,N,J,3,1,1,1,2,1,3,3,4,3,NA,0,0,0,0,0,0,NA,0,10.27,9.37,0
ZP254,S5,CCC,N,N,N,J,6,1,1,1,2,1,3,3,5,2,NA,0,0,0,0,0,0,NA,0,11.66,8.96,0
ZP255,S4,BCC,Y,N,N,J,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP256,S2,BCC,Y,N,N,J,11,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.77,1.02,0
ZP257,S1,VCC,N,N,Y,J,5,1,1,1,2,1,3,3,4,2,NA,0,0,0,0,0,0,NA,0,6.33,6.97,0
ZP258,S3,VCC,N,N,Y,J,8,1,1,1,2,1,4,2,3,1,NA,0,0,0,0,0,0,NA,0,12.71,5.46,0
ZP259,S6,PCC,N,Y,N,J,12,1,1,1,2,1,3,1,3,3,NA,0,0,0,0,0,0,NA,0,15.28,14.75,0
ZP260,S4,PCC,N,Y,N,J,9,1,1,1,2,1,3,2,4,4,NA,0,0,0,0,0,0,NA,0,12.54,6.25,0
ZP261,S1,BVC,Y,N,Y,J,2,1,1,1,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.6,0.54,0
ZP262,S10,BPC,Y,Y,N,J,4,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP263,S3,BPV,Y,Y,Y,J,10,1,1,1,2,1,5,6,7,10,NA,26,23,0,3,21,5,81,1,114.91,47.93,0
ZP264,S7,PVC,N,Y,Y,J,7,1,1,1,2,1,3,2,3,NA,10,0,0,0,0,0,0,NA,0,8.89,4.52,1
ZP265,S3,CCC,N,N,N,J,13,1,1,1,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.11,1.04,0
ZP266,S5,BVC,Y,N,Y,J,14,1,1,0,1,1,4,4,3,1,NA,0,0,0,0,0,0,NA,0,7.53,6.69,0
ZP267,S5,PVC,N,Y,Y,J,15,1,1,1,2,1,3,3,4,2,NA,0,0,0,0,0,0,NA,0,9.13,5.2,0
ZP268,S3,BPC,Y,Y,N,J,16,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.87,2.55,0
ZP269,S11,CCC,N,N,N,J,17,1,1,1,2,1,3,2,3,4,NA,0,0,0,0,0,0,NA,0,10.38,10.17,0
ZP270,S1,BCC,Y,N,N,J,18,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
