sample-id	ID_clean	Sample_type	Pop_code	Latitude	Longitude
O10_nodule	O10	nodule	O	31.097712	-81.728047
Q7_nodule	Q7	nodule	Q	32.305494	-81.044083
STH23_nodule	STH23	nodule	STH	9.483609	-84.14139
Y5_nodule	Y5	nodule	Y	38.269308	-77.206498
BG1_nodule	BG1	nodule	BG	10.345278	-85.33861111
BL7_nodule	BL7	nodule	BL	10.358333	-85.3202778
D3_nodule	D3	nodule	D	26.181227	-81.555852
J1_nodule	J1	nodule	J	27.183525	-81.362577
O11_nodule	O11	nodule	O	31.097712	-81.728047
Q9_nodule	Q9	nodule	Q	32.305494	-81.044083
STH8_nodule	STH8	nodule	STH	9.483609	-84.14139
Y8_nodule	Y8	nodule	Y	38.269308	-77.206498
BG3_nodule	BG3	nodule	BG	10.345278	-85.33861111
BM2_nodule	BM2	nodule	BM	10.442222	-84.00638889
D4_nodule	D4	nodule	D	26.181227	-81.555852
K3_nodule	K3	nodule	K	29.334928	-81.109401
O3_nodule	O3	nodule	O	31.097712	-81.728047
R6_nodule	R6	nodule	R	32.302081	-81.775907
U11_nodule	U11	nodule	U	35.901342	-78.946285
Z9_nodule	Z9	nodule	Z	38.600637	-77.490228
BG4_nodule	BG4	nodule	BG	10.345278	-85.33861111
BM5_nodule	BM5	nodule	BM	10.442222	-84.00638889
D5_nodule	D5	nodule	D	26.181227	-81.555852
K4_nodule	K4	nodule	K	29.334928	-81.109401
O4_nodule	O4	nodule	O	31.097712	-81.728047
R7_nodule	R7	nodule	R	32.302081	-81.775907
U13_nodule	U13	nodule	U	35.901342	-78.946285
single_D3_nodule	D3	nodule	D	26.181227	-81.555852
BG5_nodule	BG5	nodule	BG	10.345278	-85.33861111
BN1_nodule	BN1	nodule	BN	10.444444	-84.00583333
E1_nodule	E1	nodule	E	28.55832	-81.639747
L7_nodule	L7	nodule	L	30.278857	-81.512139
O6_nodule	O6	nodule	O	31.097712	-81.728047
S1_nodule	S1	nodule	S	36.516111	-78.73027778
U16_nodule	U16	nodule	U	35.901342	-78.946285
single_P9_nodule	P9	nodule	P	31.46366	-81.364939
BG9_nodule	BG9	nodule	BG	10.345278	-85.33861111
BN3_nodule	BN3	nodule	BN	10.444444	-84.00583333
E2_nodule	E2	nodule	E	28.55832	-81.639747
M1_nodule	M1	nodule	M	30.541895	-81.929114
O7_nodule	O7	nodule	O	31.097712	-81.728047
S3_nodule	S3	nodule	S	36.516111	-78.73027778
U18_nodule	U18	nodule	U	35.901342	-78.946285
single_Q6_nodule	Q6	nodule	Q	32.305494	-81.044083
BI2_nodule	BI2	nodule	BI	10.341746	-85.364976
BN4_nodule	BN4	nodule	BN	10.444444	-84.00583333
E3_nodule	E3	nodule	E	28.55832	-81.639747
M2_nodule	M2	nodule	M	30.541895	-81.929114
O8_nodule	O8	nodule	O	31.097712	-81.728047
S7_nodule	S7	nodule	S	36.516111	-78.73027778
U6_nodule	U6	nodule	U	35.901342	-78.946285
BI3_nodule	BI3	nodule	BI	10.341746	-85.364976
BN5_nodule	BN5	nodule	BN	10.444444	-84.00583333
E4_nodule	E4	nodule	E	28.55832	-81.639747
MIR107_nodule	MIR107	nodule	MIR	8.68027778	-82.93638889
O9_nodule	O9	nodule	O	31.097712	-81.728047
S8_nodule	S8	nodule	S	36.516111	-78.73027778
U7_nodule	U7	nodule	U	35.901342	-78.946285
